UF,TOTAL_ESCOLA,MATRICULAS,VERBA,TOTAL_ESCOLA_REAL,MATRICULAS_REAL,VERBA_REAL
AC,66,20366,21136.0,64,45664,2644483.56
AL,41,14794,21136.0,24,18814,785773.22
AM,116,62685,21136.0,66,75326,1852375.56
AP,90,19640,21136.0,20,15713,547359.22
BA,386,191210,21136.0,330,324640,10000932.6
CE,85,37014,21136.0,72,58037,2611590.12
DF,57,50762,16259.0,49,82173,1377524.08
ES,14,7167,16259.0,14,20504,508385.48
GO,130,31375,16259.0,123,63335,3420973.02
MA,632,200235,21136.0,456,306248,14067977.84
MG,2130,531313,16259.0,2089,1180247,62434208.46
MS,217,63752,16259.0,213,143562,6759678.18
MT,346,109668,16259.0,321,218576,8400062.07
PA,295,159472,21136.0,191,207298,5977670.9
PB,244,53011,21136.0,236,127403,8094219.82
PE,264,86931,21136.0,259,198059,9970724.42
PI,151,29882,21136.0,69,36293,2069674.54
PR,985,226242,16259.0,975,386527,25452541.85
RJ,967,388761,16259.0,881,736669,25474368.12
RN,172,62117,21136.0,171,137334,7028293.2
RO,154,41262,21136.0,148,101172,5538881.88
RR,3,1634,21136.0,3,2663,92561.58
RS,810,214880,16259.0,752,392925,20776162.28
SC,530,158345,16259.0,512,278197,14380305.19
SE,94,35772,21136.0,57,45488,1628147.08
SP,3506,1329588,16259.0,2701,1893310,63093607.68
TO,215,44616,21136.0,201,97939,7324477.42
